session_id,user_id,session_start,session_duration_min,pages_viewed,searches_performed,listings_clicked,offers_submitted,user_type,referral_source
S0040,U053,2025-12-17 06:03:21,15.7,14,1,14,0,buyer,search
S0041,U049,2025-09-24 22:14:38,67.4,13,12,1,0,buyer,email
S0042,U042,2026-06-05 15:12:54,67.6,32,14,2,0,seller,email
S0043,U057,2025-04-19 22:33:24,42.9,18,5,5,0,both,email
S0044,U038,2025-04-07 10:20:58,48.6,26,5,2,5,browse_only,partner
S0045,U020,2025-12-09 06:27:37,32.9,14,1,17,1,seller,direct
S0046,U067,2026-05-13 21:19:59,60.0,7,12,9,3,buyer,direct
S0047,U007,2025-10-21 03:09:45,69.3,16,11,7,1,buyer,search
S0048,U004,2025-01-12 07:25:02,31.0,13,2,7,0,browse_only,email
S0049,U022,2025-02-04 04:27:09,38.0,7,10,10,4,both,social
S0050,U027,2026-02-25 18:04:09,36.2,28,3,7,1,buyer,partner
S0051,U023,2025-01-12 15:31:08,36.8,21,0,12,1,seller,direct
S0052,U036,2026-05-20 19:51:10,56.5,3,2,6,3,buyer,social
S0053,U064,2025-03-21 01:56:34,64.4,11,8,3,4,buyer,search
S0054,U018,2025-09-15 21:47:46,16.6,21,15,2,2,buyer,social
S0055,U058,2025-10-24 23:55:10,46.5,15,0,7,0,both,direct
S0056,U040,2025-07-03 14:44:48,66.7,16,2,1,1,seller,partner
S0057,U026,2025-04-28 19:20:40,34.4,3,7,19,3,both,partner
S0058,U018,2025-08-05 00:39:09,29.3,3,13,20,2,browse_only,email
S0059,U043,2025-09-24 04:55:14,22.6,35,1,7,5,both,email
S0060,U078,2025-10-24 07:24:46,47.4,12,14,20,0,buyer,search
S0061,U009,2025-05-30 11:48:57,5.6,10,6,4,0,buyer,social
S0062,U027,2025-07-03 13:08:24,46.2,28,14,9,1,both,email
S0063,U055,2025-05-18 00:59:46,54.9,20,9,18,3,browse_only,email
S0064,U035,2026-01-09 17:40:19,8.1,24,12,12,1,seller,search
S0065,U065,2026-04-19 07:55:53,66.4,10,15,0,3,seller,direct
S0066,U039,2026-04-08 07:01:19,48.8,12,8,12,3,buyer,partner
S0067,U049,2026-03-13 15:05:17,54.9,5,10,4,5,seller,email
S0068,U025,2025-01-04 05:55:52,2.1,33,11,15,3,browse_only,search
S0069,U048,2025-10-26 06:58:35,44.6,5,13,1,0,seller,social
S0070,U021,2025-05-31 20:40:33,68.9,17,11,16,5,seller,partner
S0071,U008,2026-05-21 13:46:24,35.3,28,7,7,3,buyer,partner
S0072,U004,2026-06-26 17:48:34,60.2,10,8,19,3,browse_only,email
S0073,U033,2025-07-12 04:08:46,54.6,11,0,3,0,both,search
S0074,U051,2026-04-01 06:49:20,87.7,6,6,13,1,browse_only,partner
S0075,U039,2026-01-24 20:43:59,87.1,25,9,13,5,browse_only,direct
S0076,U074,2025-09-25 11:56:50,73.5,18,6,12,5,buyer,email
S0077,U063,2025-01-02 05:25:36,9.6,27,13,20,2,both,email
S0078,U023,2025-10-19 00:00:29,17.6,9,6,15,1,seller,direct
S0079,U058,2026-03-17 11:21:48,73.5,12,6,1,5,buyer,email
S0080,U034,2025-11-14 12:26:33,40.2,7,5,2,2,buyer,direct
S0081,U036,2025-02-19 21:56:19,31.5,16,15,15,5,browse_only,direct
S0082,U008,2025-07-26 16:06:16,67.9,1,1,3,1,seller,direct
S0083,U049,2026-04-14 08:27:09,47.3,18,15,15,2,both,partner
S0084,U048,2026-06-14 14:47:29,80.2,21,7,11,5,seller,social
S0085,U008,2025-10-04 12:51:57,78.7,7,0,14,5,seller,email
S0086,U004,2026-04-13 12:24:01,11.9,34,8,7,2,seller,search
S0087,U066,2025-11-17 21:14:16,59.8,1,10,0,5,seller,direct
S0088,U042,2026-06-11 13:31:13,40.5,32,12,19,0,buyer,search
S0089,U013,2025-10-26 22:16:59,27.2,13,4,16,4,browse_only,social
S0090,U005,2025-04-10 07:30:30,45.3,6,9,17,3,buyer,search
S0091,U015,2026-01-10 12:16:23,60.0,16,7,6,1,browse_only,direct
S0092,U014,2025-12-04 19:00:02,89.4,2,5,10,3,browse_only,email
S0093,U033,2026-06-02 05:53:05,43.4,8,4,17,5,both,direct
S0094,U043,2025-06-23 20:03:00,83.9,5,10,12,5,both,search
S0095,U072,2025-12-06 09:34:00,73.0,15,8,3,2,buyer,direct
S0096,U044,2026-04-05 23:25:01,84.4,8,11,4,2,browse_only,social
S0097,U001,2025-08-30 09:42:42,6.5,35,6,12,3,buyer,partner
S0098,U017,2026-02-08 16:52:04,60.1,15,3,12,0,seller,search
S0099,U041,2025-04-23 09:25:05,73.6,19,7,15,5,seller,social
S0100,U037,2025-04-24 07:13:36,67.5,3,10,9,4,browse_only,direct
S0101,U036,2026-03-22 19:36:45,43.6,14,15,9,5,browse_only,direct
S0102,U043,2025-04-29 14:34:33,74.7,14,7,1,1,browse_only,search
S0103,U039,2026-05-28 01:18:59,82.2,11,0,17,3,buyer,search
S0104,U045,2025-10-31 23:31:47,35.8,34,9,9,5,browse_only,social
S0105,U051,2025-03-17 14:10:05,12.7,4,9,14,5,buyer,email
S0106,U057,2026-06-25 13:33:04,43.9,10,6,6,5,buyer,direct
S0107,U047,2026-03-24 03:29:31,10.1,10,12,13,5,browse_only,direct
S0108,U013,2025-10-04 04:33:48,87.7,12,1,3,4,both,social
S0109,U056,2025-04-26 09:30:51,56.8,26,7,1,0,buyer,search
S0110,U039,2026-06-19 08:57:11,54.1,12,12,2,3,browse_only,search
S0111,U036,2026-05-07 03:33:03,59.1,24,0,3,0,buyer,search
S0112,U066,2025-06-24 17:05:35,3.0,31,8,3,4,buyer,search
S0113,U056,2025-08-20 17:53:45,51.9,7,10,2,5,browse_only,social
S0114,U024,2025-11-11 19:54:30,73.3,2,12,17,4,browse_only,social
S0115,U063,2025-02-19 15:46:21,47.2,35,3,6,5,browse_only,email
S0116,U077,2026-06-24 23:45:48,17.0,29,10,3,0,buyer,email
S0117,U021,2025-03-10 05:06:02,51.1,3,2,3,4,buyer,social
S0118,U022,2025-11-25 14:14:53,88.0,1,7,9,0,browse_only,social
S0119,U038,2026-05-27 23:35:16,48.5,9,15,10,4,browse_only,partner
S0120,U078,2026-02-23 00:57:07,46.4,7,1,7,0,buyer,partner
S0121,U028,2025-04-15 05:49:06,54.6,14,11,8,1,both,search
S0122,U010,2026-03-04 01:55:15,23.7,25,5,12,3,buyer,partner
S0123,U055,2026-06-24 10:42:17,13.7,14,2,20,5,buyer,email
S0124,U048,2026-03-14 19:03:04,59.5,33,5,13,1,buyer,search
S0125,U049,2025-01-21 02:59:41,86.8,16,2,8,0,seller,social
S0126,U053,2025-02-21 05:34:17,30.3,6,11,10,2,buyer,email
S0127,U036,2025-01-08 15:51:57,9.7,15,12,3,0,buyer,partner
S0128,U076,2026-01-16 07:09:08,9.5,23,9,17,2,both,direct
S0129,U022,2025-09-04 23:52:56,85.2,25,5,11,5,both,social
S0130,U071,2026-04-07 20:27:49,79.5,26,15,18,1,buyer,social
S0131,U020,2026-05-26 17:51:41,12.2,25,8,1,5,both,partner
S0132,U032,2026-06-11 18:50:53,55.2,30,5,14,2,browse_only,social
S0133,U037,2025-08-03 05:42:46,85.8,34,7,9,5,browse_only,partner
S0134,U053,2025-08-31 21:50:18,76.2,6,2,7,0,buyer,direct
S0135,U011,2025-08-11 00:38:46,50.3,32,0,13,5,seller,email
S0136,U062,2026-01-22 15:45:41,46.8,35,3,12,0,both,direct
S0137,U055,2026-02-20 00:32:11,67.7,16,1,19,3,browse_only,social
S0138,U029,2025-05-16 18:46:22,7.7,9,11,1,3,seller,email
S0139,U048,2025-03-29 22:49:32,31.1,16,3,9,2,seller,partner
S0140,U028,2025-01-02 17:39:01,66.7,26,6,9,5,seller,direct
S0141,U060,2026-04-25 19:40:12,76.5,4,11,0,4,seller,partner
S0142,U046,2025-03-25 05:40:58,1.5,12,12,11,0,buyer,search
S0143,U026,2025-03-07 19:44:18,48.1,10,13,3,3,buyer,partner
S0144,U029,2026-01-01 14:27:33,36.2,20,11,13,1,seller,partner
S0145,U014,2025-12-07 15:34:33,59.4,29,5,4,2,both,direct
S0146,U046,2025-06-04 03:38:55,10.8,19,1,4,3,seller,partner
S0147,U005,2025-05-05 12:26:29,60.3,31,8,3,3,seller,search
S0148,U017,2025-09-10 08:20:44,67.8,26,12,4,0,browse_only,direct
S0149,U017,2025-05-01 19:30:46,31.6,1,7,1,5,browse_only,search
S0150,U077,2025-01-07 05:40:09,39.7,19,9,15,0,browse_only,email
S0151,U080,2025-04-29 10:43:34,65.9,12,7,8,0,browse_only,email
S0152,U055,2025-06-04 02:40:34,43.2,7,5,6,4,both,email
S0153,U030,2025-04-04 13:33:33,12.8,3,8,6,1,seller,social
S0154,U026,2025-03-12 15:09:33,77.9,25,13,16,2,both,email
S0155,U029,2025-09-19 02:48:33,38.9,4,13,20,0,buyer,partner
S0156,U047,2025-08-06 21:56:30,84.9,27,7,10,0,buyer,direct
S0157,U007,2026-05-28 23:19:17,67.3,14,9,15,2,browse_only,direct
S0158,U056,2025-05-24 13:40:02,23.5,32,11,10,2,buyer,direct
S0159,U071,2025-04-12 05:07:07,30.5,24,11,7,5,buyer,social
S0160,U050,2025-03-09 18:06:24,80.0,9,3,1,4,browse_only,email
S0161,U025,2025-12-13 05:45:04,83.4,5,10,9,5,seller,email
S0162,U069,2025-04-30 08:39:37,4.9,13,13,17,5,buyer,social
S0163,U045,2025-10-12 06:57:31,40.9,8,13,2,3,seller,social
S0164,U003,2025-05-10 15:53:46,54.3,9,9,1,4,buyer,email
S0165,U051,2026-01-20 11:57:05,61.9,33,2,5,3,browse_only,search
S0166,U072,2025-10-31 02:43:46,36.7,18,6,5,0,buyer,email
S0167,U076,2026-06-26 03:50:05,1.8,33,14,16,5,both,partner
S0168,U039,2025-06-21 03:22:00,27.4,18,3,5,1,buyer,email
S0169,U038,2025-01-31 08:42:10,57.9,18,4,8,0,both,email
S0170,U027,2026-02-20 05:34:18,11.3,23,11,10,0,browse_only,social
S0171,U034,2025-04-14 18:42:02,37.3,19,10,1,5,browse_only,partner
S0172,U029,2025-08-06 05:47:45,16.7,2,3,12,5,buyer,social
S0173,U071,2025-06-10 03:04:56,73.7,15,10,8,1,seller,search
S0174,U020,2025-12-13 11:05:05,21.6,28,11,4,3,buyer,email
S0175,U059,2025-05-24 17:10:20,73.6,12,6,18,3,browse_only,email
S0176,U037,2025-01-17 08:21:00,28.6,12,12,19,1,buyer,direct
S0177,U055,2025-07-10 11:51:46,41.5,26,3,16,1,both,direct
S0178,U078,2025-03-19 11:06:03,34.6,2,3,0,5,browse_only,email
S0179,U032,2025-03-06 22:20:02,24.8,1,0,3,4,both,partner
S0180,U011,2025-06-07 03:32:55,13.4,29,5,9,2,seller,email
S0181,U008,2026-02-27 04:04:01,62.6,35,3,0,0,buyer,partner
S0182,U014,2026-02-02 07:50:30,79.9,27,4,0,1,buyer,search
S0183,U050,2025-04-25 11:17:50,32.4,19,7,12,5,browse_only,direct
S0184,U063,2025-05-12 16:48:35,89.2,15,3,9,2,buyer,partner
S0185,U016,2025-10-08 00:05:09,83.2,6,1,19,1,buyer,social
S0186,U043,2026-04-11 17:34:05,17.1,28,4,9,4,browse_only,partner
S0187,U014,2025-07-30 13:32:41,82.5,24,8,2,0,browse_only,email
S0188,U019,2025-09-06 18:00:16,14.2,29,15,2,0,seller,partner
S0189,U019,2025-03-12 06:03:16,29.8,9,5,12,2,buyer,search
S0190,U062,2026-06-23 14:18:04,87.6,22,4,20,1,seller,social
S0191,U064,2026-02-23 10:58:35,48.5,35,7,12,0,seller,search
S0192,U068,2026-03-25 20:23:51,70.1,15,2,7,2,buyer,direct
S0193,U047,2026-03-10 16:51:16,43.2,9,3,1,2,seller,email
S0194,U038,2025-12-24 14:15:41,13.8,27,7,6,1,buyer,email
S0195,U016,2026-06-25 10:17:34,63.7,25,0,13,2,buyer,direct
S0196,U075,2025-02-27 07:10:40,43.4,11,0,4,2,buyer,email
S0197,U010,2025-01-10 16:36:04,51.7,27,4,5,3,both,social
S0198,U039,2026-01-01 04:52:27,37.6,22,14,20,5,buyer,direct
S0199,U020,2025-02-16 14:29:45,79.4,3,5,16,1,buyer,search
S0200,U059,2026-03-07 10:12:54,64.3,17,9,7,3,browse_only,partner
S0201,U012,2026-02-10 01:29:02,34.6,9,6,12,4,buyer,search
S0202,U024,2026-03-11 10:00:04,54.9,5,14,15,2,both,search
S0203,U049,2025-05-09 00:32:55,5.9,24,13,6,2,buyer,direct
S0204,U047,2026-04-14 12:16:46,70.3,22,0,7,2,buyer,direct
S0205,U009,2025-06-14 14:17:15,54.1,20,6,17,1,both,direct
S0206,U031,2025-07-29 01:39:19,8.6,3,15,1,0,buyer,partner
S0207,U002,2025-10-05 00:25:18,67.9,26,6,10,3,both,email
S0208,U013,2025-09-15 08:13:07,37.2,33,3,16,1,buyer,search
S0209,U062,2026-04-01 10:30:32,78.3,3,9,5,1,both,direct
S0210,U012,2025-06-29 20:46:44,79.7,10,5,16,4,browse_only,social
S0211,U067,2025-09-23 04:26:32,40.8,9,10,9,2,both,search
S0212,U006,2026-06-15 09:41:03,35.5,14,2,4,4,both,search
S0213,U013,2025-01-12 14:32:04,13.7,20,2,15,0,seller,email
S0214,U038,2025-05-06 10:03:55,7.1,24,11,2,0,buyer,search
S0215,U034,2026-01-03 14:13:24,88.1,29,4,3,4,seller,partner
S0216,U037,2025-11-08 10:02:55,37.4,9,14,11,4,browse_only,partner
S0217,U048,2025-03-06 20:22:35,61.7,33,14,8,5,buyer,direct
S0218,U032,2026-06-28 12:11:51,74.1,1,4,3,2,seller,social
S0219,U052,2025-02-26 16:25:16,20.9,30,2,11,3,seller,social
S0220,U060,2025-03-26 18:07:35,8.6,7,12,13,1,seller,direct
S0221,U041,2025-09-23 23:14:14,89.7,32,6,15,0,buyer,direct
S0222,U070,2025-05-01 23:13:29,85.4,10,6,10,4,buyer,social
S0223,U049,2025-02-18 11:13:30,84.3,24,13,15,1,buyer,direct
S0224,U055,2025-07-29 14:20:00,23.4,12,2,4,0,buyer,direct
S0225,U039,2025-12-17 15:05:45,78.5,34,6,8,1,browse_only,direct
S0226,U055,2025-09-23 15:41:56,86.7,20,5,6,2,browse_only,search
S0227,U061,2026-02-20 22:33:38,62.3,11,13,11,5,seller,direct
S0228,U072,2026-04-09 19:17:04,18.7,10,10,10,0,buyer,search
S0229,U019,2026-01-23 22:20:31,77.9,8,13,8,4,both,search
S0230,U017,2026-05-08 16:04:46,41.0,7,1,6,5,browse_only,search
S0231,U070,2025-05-10 00:20:51,54.5,14,11,6,1,browse_only,social
S0232,U002,2025-10-15 14:04:47,73.4,2,9,9,4,browse_only,direct
S0233,U064,2026-05-20 00:35:25,89.9,27,13,11,2,browse_only,search
S0234,U067,2025-09-18 20:15:42,11.1,12,14,13,2,buyer,social
S0235,U021,2026-02-26 13:50:00,39.8,19,13,20,2,both,direct
S0236,U012,2025-03-22 15:11:48,9.0,2,13,3,3,both,social
S0237,U070,2025-03-19 10:34:52,57.4,33,1,9,3,buyer,search
S0238,U071,2025-10-23 23:50:34,11.2,31,3,11,3,seller,search
S0239,U001,2025-10-18 23:51:59,70.6,33,9,8,5,buyer,search
S0240,U031,2025-01-04 05:30:08,81.1,27,1,0,0,buyer,partner
S0241,U067,2026-04-11 23:47:52,29.3,11,13,7,4,browse_only,email
S0242,U079,2026-05-16 13:07:37,36.0,4,13,4,5,seller,email
S0243,U052,2025-09-05 02:16:43,47.0,28,7,3,5,browse_only,social
S0244,U016,2026-05-06 10:54:52,52.3,26,8,17,1,browse_only,email
S0245,U012,2025-03-14 10:35:35,3.3,1,4,0,4,both,direct
S0246,U074,2025-10-25 00:32:35,3.3,9,14,20,5,browse_only,email
S0247,U031,2026-05-22 19:54:18,80.9,20,6,17,1,both,search
S0248,U034,2026-05-28 01:27:15,5.6,6,4,20,0,both,social
S0249,U014,2025-03-28 03:54:48,41.9,8,3,4,2,buyer,email
S0250,U012,2025-03-02 02:29:39,45.0,24,6,12,0,seller,direct
S0251,U053,2025-02-27 03:33:19,44.3,5,6,13,3,browse_only,search
S0252,U021,2025-05-20 15:50:05,27.6,12,1,3,2,browse_only,search
S0253,U079,2026-04-12 00:40:39,49.6,11,8,3,1,both,social
S0254,U003,2026-02-07 08:07:30,46.5,10,6,11,0,browse_only,direct
S0255,U042,2025-04-18 15:02:21,20.6,9,8,8,3,buyer,direct
S0256,U045,2026-03-05 08:39:04,59.0,30,15,13,4,browse_only,email
S0257,U033,2025-05-15 08:11:56,18.6,18,12,3,4,browse_only,social
S0258,U040,2025-05-09 15:59:52,71.7,32,13,14,3,seller,partner
S0259,U041,2026-04-29 19:54:07,10.6,25,13,6,4,seller,direct
S0260,U058,2025-05-10 21:44:53,80.2,33,8,18,3,buyer,social
S0261,U046,2025-11-06 08:58:28,3.7,12,10,13,1,seller,direct
S0262,U028,2026-05-26 06:31:17,34.1,10,10,3,0,buyer,direct
S0263,U043,2025-06-16 01:00:24,42.4,21,7,17,0,seller,social
S0264,U028,2026-02-14 12:52:58,20.4,18,2,18,5,seller,search
S0265,U041,2025-09-06 15:29:44,18.6,4,15,15,0,browse_only,search
S0266,U016,2025-04-07 09:15:18,41.3,21,12,7,4,buyer,direct
S0267,U074,2025-01-04 14:37:35,82.1,19,4,12,0,browse_only,social
S0268,U006,2025-09-20 01:24:10,58.4,5,15,3,3,both,partner
S0269,U041,2025-09-26 14:38:07,36.6,21,15,19,0,seller,search
S0270,U064,2026-05-13 22:55:00,87.1,8,11,19,0,buyer,direct
S0271,U002,2025-04-18 18:11:49,10.4,21,13,7,1,buyer,partner
S0272,U069,2025-01-04 20:06:48,84.1,4,8,1,0,buyer,partner
S0273,U010,2025-07-24 20:13:48,30.3,25,8,5,1,seller,direct
S0274,U017,2025-09-06 00:47:33,77.7,27,14,3,4,seller,social
S0275,U062,2026-05-29 14:56:49,44.6,18,10,15,1,buyer,partner
S0276,U011,2025-10-02 04:34:39,50.7,16,6,2,0,browse_only,direct
S0277,U028,2025-01-11 04:43:32,60.7,30,12,6,3,buyer,email
S0278,U076,2026-02-14 20:00:32,46.7,21,9,14,5,buyer,social
S0279,U014,2025-04-12 00:30:13,20.5,24,12,14,4,seller,search
S0280,U025,2025-02-23 07:31:46,25.7,11,9,18,5,buyer,search
S0281,U014,2025-03-27 14:15:41,22.4,30,5,8,0,seller,social
S0282,U058,2025-10-01 08:57:02,24.6,6,11,13,1,buyer,social
S0283,U056,2026-01-30 12:26:32,30.7,29,8,11,0,buyer,search
S0284,U055,2025-05-31 15:08:51,27.2,26,5,19,2,seller,search
S0285,U067,2025-12-03 18:14:37,10.7,4,7,3,1,buyer,direct
S0286,U074,2025-07-26 17:55:19,22.3,35,3,8,1,browse_only,search
S0287,U051,2025-11-02 03:54:54,10.0,18,15,6,1,browse_only,partner
S0288,U037,2026-04-09 04:05:14,26.6,1,3,5,4,browse_only,social
S0289,U062,2025-08-26 03:39:19,76.9,16,5,10,5,buyer,email
S0290,U043,2025-12-20 13:50:50,13.6,1,15,13,2,buyer,partner
S0291,U010,2025-05-13 14:32:48,61.4,1,11,15,4,buyer,email
S0292,U061,2025-03-26 23:06:10,5.0,2,9,7,4,seller,email
S0293,U013,2025-03-19 15:59:40,28.1,22,14,15,5,seller,social
S0294,U033,2026-05-31 06:49:52,44.3,24,14,0,2,buyer,partner
S0295,U067,2026-05-31 16:40:59,77.3,31,3,8,5,seller,direct
S0296,U019,2025-11-15 16:53:58,77.2,10,11,15,0,buyer,search
S0297,U047,2025-06-10 05:51:03,67.2,13,12,20,0,browse_only,social
S0298,U058,2026-02-14 06:15:22,16.6,23,10,12,4,seller,partner
S0299,U040,2025-05-29 00:31:55,4.7,34,10,19,0,seller,search
S0300,U073,2025-09-27 12:30:29,26.7,1,15,4,3,both,social
