signal_id,company_id,signal_date,signal_type,price_per_share,source,confidence_score,previous_price,price_change_pct
PS0029,C011,2026-05-20,analyst_estimate,12.58,cb_insights,0.72,9.02,39.47
PS0030,C008,2026-01-16,analyst_estimate,133.01,equityzen,0.91,119.22,11.57
PS0031,C013,2026-06-08,tender_offer,165.17,cb_insights,0.74,119.2,38.57
PS0032,C013,2026-03-10,funding_round,376.47,internal_409a,0.7,322.82,16.62
PS0033,C011,2025-06-28,funding_round,390.84,pitchbook,0.71,322.94,21.03
PS0034,C001,2025-01-13,secondary_trade,157.98,internal_409a,0.59,149.31,5.81
PS0035,C005,2025-07-11,analyst_estimate,112.51,carta,0.68,106.35,5.79
PS0036,C006,2025-07-08,funding_round,175.34,forge_global,0.81,148.85,17.8
PS0037,C014,2026-02-15,tender_offer,185.78,equityzen,0.48,172.84,7.49
PS0038,C004,2025-04-13,tender_offer,323.59,equityzen,0.66,275.81,17.32
PS0039,C003,2025-06-03,funding_round,324.21,hiive_marketplace,0.65,244.39,32.66
PS0040,C015,2026-06-14,analyst_estimate,291.02,cb_insights,0.69,232.93,24.94
PS0041,C014,2025-02-18,funding_round,48.6,hiive_marketplace,0.44,49.84,-2.49
PS0042,C008,2025-04-09,funding_round,300.39,carta,0.61,277.6,8.21
PS0043,C015,2025-09-21,tender_offer,17.74,internal_409a,0.61,17.24,2.9
PS0044,C010,2025-07-23,analyst_estimate,234.6,pitchbook,0.72,256.12,-8.4
PS0045,C005,2025-12-30,tender_offer,272.55,forge_global,0.86,239.51,13.79
PS0046,C002,2026-01-26,analyst_estimate,121.74,pitchbook,0.96,127.5,-4.52
PS0047,C011,2025-12-12,funding_round,256.2,equityzen,0.64,272.3,-5.91
PS0048,C002,2025-06-15,tender_offer,99.0,carta,0.79,97.43,1.61
PS0049,C010,2026-02-09,tender_offer,356.2,cb_insights,0.91,301.08,18.31
PS0050,C010,2026-06-18,funding_round,171.46,hiive_marketplace,0.9,128.6,33.33
PS0051,C004,2025-09-15,409a_valuation,92.12,forge_global,0.46,66.83,37.84
PS0052,C015,2026-04-30,analyst_estimate,30.99,cb_insights,0.63,31.18,-0.61
PS0053,C002,2025-04-17,tender_offer,251.06,internal_409a,0.79,264.66,-5.14
PS0054,C005,2025-08-23,secondary_trade,297.66,forge_global,0.77,223.99,32.89
PS0055,C014,2025-06-24,409a_valuation,23.71,carta,0.91,19.68,20.48
PS0056,C008,2026-04-24,analyst_estimate,374.59,equityzen,0.66,407.49,-8.07
PS0057,C012,2025-07-01,analyst_estimate,243.06,pitchbook,0.84,255.44,-4.85
PS0058,C007,2026-06-21,analyst_estimate,130.77,carta,0.68,103.42,26.45
PS0059,C002,2026-03-29,tender_offer,152.66,carta,0.49,107.51,42.0
PS0060,C009,2025-05-20,tender_offer,121.84,equityzen,0.4,130.23,-6.44
PS0061,C013,2026-05-04,tender_offer,13.56,forge_global,0.87,12.73,6.52
PS0062,C013,2025-01-08,analyst_estimate,155.72,forge_global,0.92,136.23,14.31
PS0063,C004,2025-06-17,funding_round,333.09,hiive_marketplace,0.56,289.42,15.09
PS0064,C004,2026-06-14,analyst_estimate,324.95,pitchbook,0.56,311.75,4.23
PS0065,C009,2025-10-03,funding_round,83.32,internal_409a,0.51,67.98,22.57
PS0066,C011,2026-04-12,analyst_estimate,186.58,pitchbook,0.77,144.62,29.01
PS0067,C001,2025-06-05,409a_valuation,388.19,internal_409a,0.51,287.61,34.97
PS0068,C005,2025-05-09,funding_round,293.57,hiive_marketplace,0.45,207.23,41.66
PS0069,C004,2025-12-17,funding_round,131.51,cb_insights,0.69,111.59,17.85
PS0070,C012,2025-02-02,tender_offer,41.29,cb_insights,0.96,29.83,38.42
PS0071,C013,2026-02-06,409a_valuation,221.84,hiive_marketplace,0.51,229.96,-3.53
PS0072,C014,2026-01-26,409a_valuation,57.57,cb_insights,0.82,49.16,17.11
PS0073,C008,2025-09-11,409a_valuation,87.68,pitchbook,0.85,79.65,10.08
PS0074,C004,2026-04-30,funding_round,275.76,carta,0.95,210.53,30.98
PS0075,C012,2025-02-13,analyst_estimate,213.16,carta,0.68,174.69,22.02
PS0076,C006,2025-02-23,secondary_trade,389.58,hiive_marketplace,0.77,323.28,20.51
PS0077,C003,2025-10-10,analyst_estimate,56.66,cb_insights,0.54,61.62,-8.05
PS0078,C010,2026-05-02,analyst_estimate,70.45,cb_insights,0.45,53.76,31.05
PS0079,C002,2025-12-13,409a_valuation,33.31,pitchbook,0.49,30.46,9.36
PS0080,C002,2025-05-09,funding_round,100.74,equityzen,0.87,101.01,-0.27
PS0081,C013,2026-03-26,secondary_trade,18.33,forge_global,0.61,13.82,32.63
PS0082,C015,2025-02-10,funding_round,285.58,equityzen,0.57,279.53,2.16
PS0083,C004,2025-07-11,analyst_estimate,145.59,pitchbook,0.68,152.44,-4.49
PS0084,C010,2025-06-14,409a_valuation,217.14,forge_global,0.57,174.87,24.17
PS0085,C006,2026-04-10,409a_valuation,312.61,equityzen,0.62,242.03,29.16
PS0086,C001,2026-01-08,analyst_estimate,103.13,pitchbook,0.44,112.09,-7.99
PS0087,C014,2026-02-01,secondary_trade,214.39,forge_global,0.85,163.29,31.29
PS0088,C005,2025-11-27,funding_round,259.95,internal_409a,0.46,250.48,3.78
PS0089,C001,2025-05-13,secondary_trade,350.66,hiive_marketplace,0.46,272.34,28.76
PS0090,C001,2026-02-02,funding_round,215.07,pitchbook,0.75,154.77,38.96
PS0091,C004,2025-03-14,409a_valuation,372.78,hiive_marketplace,0.79,399.38,-6.66
PS0092,C014,2025-03-23,funding_round,322.4,internal_409a,0.61,321.56,0.26
PS0093,C015,2026-03-02,tender_offer,319.76,internal_409a,0.89,257.83,24.02
PS0094,C001,2025-03-14,tender_offer,40.39,hiive_marketplace,0.97,29.84,35.36
PS0095,C012,2025-08-25,analyst_estimate,160.28,hiive_marketplace,0.71,128.14,25.08
PS0096,C011,2025-07-03,analyst_estimate,302.19,forge_global,0.84,304.16,-0.65
PS0097,C010,2026-01-02,funding_round,283.99,forge_global,0.92,217.74,30.43
PS0098,C003,2026-02-16,analyst_estimate,141.63,hiive_marketplace,0.72,133.13,6.38
PS0099,C015,2025-12-27,tender_offer,224.53,carta,0.9,194.2,15.62
PS0100,C011,2026-03-17,tender_offer,247.28,equityzen,0.72,210.19,17.65
PS0101,C009,2025-09-18,tender_offer,385.04,forge_global,0.97,269.56,42.84
PS0102,C001,2025-10-19,analyst_estimate,16.36,hiive_marketplace,0.99,13.43,21.82
PS0103,C005,2025-08-16,secondary_trade,343.73,internal_409a,0.86,370.31,-7.18
PS0104,C014,2025-10-10,analyst_estimate,209.4,equityzen,0.95,159.54,31.25
PS0105,C001,2026-04-17,tender_offer,70.88,carta,0.62,66.12,7.2
PS0106,C004,2025-09-20,tender_offer,45.84,forge_global,0.74,36.07,27.09
PS0107,C002,2025-11-29,funding_round,77.43,cb_insights,0.93,75.97,1.92
PS0108,C014,2025-04-08,analyst_estimate,260.48,internal_409a,0.83,242.38,7.47
PS0109,C002,2025-02-27,tender_offer,145.69,cb_insights,0.66,156.19,-6.72
PS0110,C002,2025-08-21,analyst_estimate,372.17,pitchbook,0.86,317.46,17.23
PS0111,C005,2026-06-21,409a_valuation,134.53,equityzen,0.49,121.21,10.99
PS0112,C004,2025-06-06,409a_valuation,272.72,forge_global,0.97,273.03,-0.11
PS0113,C010,2026-06-01,409a_valuation,96.61,carta,0.86,73.35,31.71
PS0114,C006,2025-03-26,funding_round,232.86,internal_409a,0.72,187.46,24.22
PS0115,C007,2026-05-29,funding_round,311.79,hiive_marketplace,0.85,278.23,12.06
PS0116,C004,2026-05-15,funding_round,264.38,hiive_marketplace,0.73,290.51,-8.99
PS0117,C009,2025-09-10,secondary_trade,37.94,cb_insights,0.65,36.95,2.68
PS0118,C010,2025-04-02,409a_valuation,271.98,forge_global,0.62,211.11,28.83
PS0119,C006,2025-01-25,tender_offer,76.01,carta,0.76,83.31,-8.76
PS0120,C008,2025-05-30,funding_round,27.5,cb_insights,0.54,26.79,2.65
PS0121,C003,2025-03-29,409a_valuation,298.44,hiive_marketplace,0.96,319.54,-6.6
PS0122,C014,2025-10-22,409a_valuation,143.88,cb_insights,0.47,126.62,13.63
PS0123,C001,2025-12-06,secondary_trade,298.61,hiive_marketplace,0.52,271.53,9.97
PS0124,C005,2026-05-10,analyst_estimate,294.67,hiive_marketplace,0.81,285.04,3.38
PS0125,C007,2026-06-24,409a_valuation,109.63,internal_409a,0.57,111.35,-1.54
PS0126,C010,2025-10-05,409a_valuation,191.33,internal_409a,0.44,184.47,3.72
PS0127,C011,2026-01-04,409a_valuation,17.44,cb_insights,0.92,14.9,17.05
PS0128,C007,2026-06-05,409a_valuation,362.51,forge_global,0.91,330.84,9.57
PS0129,C003,2025-07-23,analyst_estimate,387.05,equityzen,0.95,274.26,41.13
PS0130,C004,2026-06-27,tender_offer,140.09,forge_global,0.84,99.09,41.38
PS0131,C011,2025-12-27,tender_offer,253.84,hiive_marketplace,0.99,277.05,-8.38
PS0132,C005,2025-03-05,tender_offer,352.68,cb_insights,0.98,380.07,-7.21
PS0133,C005,2025-08-19,secondary_trade,143.3,forge_global,0.79,105.34,36.04
PS0134,C007,2026-06-18,analyst_estimate,350.35,pitchbook,0.53,278.93,25.6
PS0135,C003,2026-03-13,tender_offer,364.8,carta,0.67,274.59,32.85
PS0136,C011,2025-05-22,analyst_estimate,221.13,cb_insights,0.52,167.01,32.41
PS0137,C012,2026-06-21,secondary_trade,177.73,cb_insights,0.49,190.74,-6.82
PS0138,C015,2025-06-11,tender_offer,36.45,equityzen,0.96,27.24,33.81
PS0139,C006,2025-05-30,409a_valuation,308.52,forge_global,0.97,253.4,21.75
PS0140,C012,2025-10-08,secondary_trade,313.85,internal_409a,0.48,222.98,40.75
PS0141,C010,2025-10-01,analyst_estimate,231.15,hiive_marketplace,0.75,183.16,26.2
PS0142,C001,2026-01-03,409a_valuation,278.38,forge_global,0.48,289.09,-3.7
PS0143,C008,2026-01-18,secondary_trade,342.33,forge_global,0.68,262.06,30.63
PS0144,C004,2025-02-03,funding_round,308.17,internal_409a,0.95,332.85,-7.41
PS0145,C004,2025-07-27,secondary_trade,35.79,forge_global,0.91,32.07,11.6
PS0146,C006,2026-04-14,secondary_trade,176.75,cb_insights,0.42,175.71,0.59
PS0147,C007,2025-11-17,funding_round,248.49,pitchbook,0.74,227.24,9.35
PS0148,C011,2025-02-09,analyst_estimate,52.63,forge_global,0.89,37.73,39.49
PS0149,C004,2026-06-16,analyst_estimate,164.29,pitchbook,0.42,140.46,16.97
PS0150,C013,2025-02-20,secondary_trade,123.56,forge_global,0.92,124.73,-0.94
