listing_id,shareholder_id,company_id,shares_offered,ask_price_per_share,listing_date,status,listing_type,minimum_block_size,expiry_date
L0044,SH020,C006,99992,313.63,2026-06-01,filled,negotiated,5000,2026-08-10
L0045,SH024,C014,63216,165.77,2025-09-11,expired,auction,10000,2026-02-12
L0046,SH021,C004,36992,162.36,2025-10-20,active,auction,1000,2026-04-06
L0047,SH003,C003,20769,92.47,2025-06-06,expired,standard,5000,2025-10-18
L0048,SH011,C009,62069,154.28,2025-07-31,expired,auction,10000,2025-09-04
L0049,SH025,C010,50857,174.79,2025-12-27,active,auction,5000,2026-06-12
L0050,SH024,C012,72582,282.96,2025-08-14,filled,auction,5000,2026-01-15
L0051,SH001,C007,45057,239.07,2026-02-19,expired,auction,500,2026-08-04
L0052,SH001,C015,52645,213.28,2025-01-28,active,auction,500,2025-06-25
L0053,SH006,C001,35099,142.0,2025-08-05,filled,auction,5000,2025-11-14
L0054,SH025,C014,56255,99.51,2025-03-25,filled,negotiated,10000,2025-05-07
L0055,SH012,C004,86215,37.99,2025-02-11,expired,standard,500,2025-03-18
L0056,SH020,C003,32266,57.28,2025-04-28,partially_filled,standard,5000,2025-08-01
L0057,SH025,C006,22992,217.97,2025-04-28,expired,standard,1000,2025-06-24
L0058,SH019,C001,41888,207.89,2026-01-20,filled,negotiated,500,2026-03-10
L0059,SH019,C012,83213,96.35,2025-11-05,expired,negotiated,100,2026-04-28
L0060,SH002,C006,70827,158.51,2026-01-15,active,negotiated,1000,2026-02-17
L0061,SH014,C014,65251,50.36,2026-01-06,partially_filled,auction,500,2026-05-27
L0062,SH006,C012,69386,338.43,2025-10-04,partially_filled,negotiated,5000,2026-03-02
L0063,SH014,C014,96817,213.48,2025-11-27,expired,standard,1000,2026-04-21
L0064,SH008,C013,61910,205.9,2026-01-24,filled,auction,1000,2026-04-10
L0065,SH016,C004,47507,282.27,2025-12-15,active,negotiated,1000,2026-06-05
L0066,SH001,C009,26042,43.68,2026-02-21,filled,standard,5000,2026-07-26
L0067,SH015,C013,3260,46.17,2025-08-15,filled,standard,1000,2026-02-09
L0068,SH012,C008,73544,192.86,2026-03-12,withdrawn,negotiated,1000,2026-07-10
L0069,SH023,C008,36509,117.72,2025-08-25,active,standard,1000,2025-10-24
L0070,SH024,C009,91461,77.03,2025-08-10,expired,auction,10000,2026-01-21
L0071,SH020,C005,14176,293.93,2025-10-31,active,standard,1000,2025-12-03
L0072,SH023,C009,17591,106.89,2025-02-25,partially_filled,negotiated,500,2025-07-30
L0073,SH004,C014,2607,207.31,2026-04-26,filled,auction,500,2026-06-08
L0074,SH009,C014,63616,53.22,2025-03-08,filled,standard,10000,2025-04-20
L0075,SH005,C003,74772,332.96,2025-03-29,withdrawn,standard,10000,2025-08-12
L0076,SH020,C010,82057,90.61,2026-06-20,filled,auction,1000,2026-12-17
L0077,SH014,C005,75531,223.04,2025-04-12,withdrawn,standard,500,2025-07-18
L0078,SH022,C002,21585,95.35,2025-03-18,active,auction,5000,2025-08-15
L0079,SH010,C001,31340,111.52,2025-10-17,expired,auction,100,2026-01-14
L0080,SH009,C013,82927,212.58,2025-07-22,filled,negotiated,500,2025-09-28
L0081,SH009,C014,19643,38.92,2025-06-19,expired,negotiated,10000,2025-09-30
L0082,SH015,C002,62433,245.71,2026-02-17,withdrawn,negotiated,10000,2026-07-23
L0083,SH015,C002,79385,28.35,2026-03-19,expired,negotiated,1000,2026-04-24
L0084,SH003,C004,89381,295.05,2025-01-22,withdrawn,negotiated,1000,2025-07-18
L0085,SH002,C013,23962,172.62,2026-03-29,withdrawn,standard,10000,2026-08-17
L0086,SH021,C014,65451,339.63,2026-04-27,filled,auction,1000,2026-06-22
L0087,SH006,C006,54955,247.38,2025-10-23,partially_filled,auction,10000,2025-12-01
L0088,SH015,C002,42224,99.55,2025-04-29,withdrawn,auction,10000,2025-05-29
L0089,SH022,C014,72118,169.76,2025-02-25,active,auction,10000,2025-08-01
L0090,SH021,C008,7764,83.19,2025-05-15,withdrawn,auction,5000,2025-07-15
L0091,SH001,C011,80806,282.77,2025-06-12,filled,standard,10000,2025-10-24
L0092,SH003,C004,15871,169.59,2025-05-01,partially_filled,standard,5000,2025-08-13
L0093,SH017,C012,36838,154.19,2026-05-10,withdrawn,standard,5000,2026-10-28
L0094,SH005,C007,25983,323.83,2026-06-05,expired,standard,100,2026-09-13
L0095,SH025,C013,55387,128.86,2026-06-04,active,standard,1000,2026-09-18
L0096,SH019,C010,87499,179.03,2025-06-02,filled,auction,1000,2025-09-25
L0097,SH018,C013,72228,141.37,2025-11-26,expired,negotiated,500,2026-05-21
L0098,SH013,C004,54841,29.62,2026-04-30,expired,auction,5000,2026-07-07
L0099,SH016,C001,17547,183.27,2025-12-06,expired,auction,100,2026-05-19
L0100,SH015,C001,95692,63.29,2025-06-08,active,auction,1000,2025-10-17
L0101,SH021,C002,44065,300.53,2026-01-25,withdrawn,negotiated,5000,2026-07-12
L0102,SH002,C010,9968,93.65,2025-10-22,withdrawn,negotiated,100,2026-03-12
L0103,SH004,C013,84066,250.8,2025-04-13,filled,negotiated,1000,2025-05-20
L0104,SH002,C006,8355,113.28,2026-01-19,filled,standard,10000,2026-06-03
L0105,SH019,C011,24600,71.94,2025-03-22,partially_filled,auction,10000,2025-06-21
L0106,SH016,C015,77435,62.94,2026-04-18,partially_filled,auction,1000,2026-05-20
L0107,SH015,C015,38700,242.0,2025-06-11,active,auction,10000,2025-09-25
L0108,SH021,C007,91480,98.78,2025-11-06,active,auction,5000,2026-01-02
L0109,SH008,C007,75963,135.25,2025-10-30,withdrawn,auction,100,2026-03-10
L0110,SH009,C001,75177,304.8,2025-02-20,withdrawn,negotiated,5000,2025-06-03
L0111,SH025,C013,31162,218.37,2025-12-27,active,standard,10000,2026-03-31
L0112,SH022,C013,95493,272.1,2025-05-21,partially_filled,negotiated,100,2025-09-07
L0113,SH015,C001,76965,137.23,2025-05-15,active,auction,1000,2025-09-28
L0114,SH006,C004,18322,278.48,2026-01-10,filled,auction,500,2026-04-15
L0115,SH016,C013,39684,265.1,2025-12-13,expired,auction,100,2026-02-17
L0116,SH025,C004,89647,257.61,2026-02-11,withdrawn,negotiated,1000,2026-04-05
L0117,SH013,C001,35663,194.75,2026-04-11,filled,negotiated,1000,2026-10-07
L0118,SH013,C014,84695,330.0,2025-04-21,partially_filled,auction,100,2025-10-11
L0119,SH011,C015,80964,89.16,2025-03-06,partially_filled,auction,1000,2025-07-18
L0120,SH004,C003,6943,332.0,2025-11-08,withdrawn,standard,100,2026-02-06
L0121,SH018,C003,51940,166.97,2026-03-06,partially_filled,negotiated,500,2026-07-20
L0122,SH021,C002,65139,221.24,2025-10-14,active,auction,500,2026-03-06
L0123,SH015,C004,48537,48.28,2026-01-12,filled,negotiated,1000,2026-02-26
L0124,SH013,C005,25878,339.35,2026-04-11,active,standard,10000,2026-05-16
L0125,SH002,C013,44713,96.6,2025-05-09,expired,standard,100,2025-10-27
L0126,SH007,C010,29305,287.37,2025-08-27,filled,standard,10000,2025-09-26
L0127,SH009,C014,19964,345.82,2025-09-14,expired,standard,100,2025-11-16
L0128,SH001,C006,32186,212.27,2025-01-17,active,standard,500,2025-06-03
L0129,SH017,C002,98735,36.29,2026-04-05,expired,negotiated,10000,2026-06-01
L0130,SH015,C009,30038,331.71,2025-02-14,expired,negotiated,10000,2025-06-01
L0131,SH015,C011,5082,35.38,2026-05-06,expired,auction,100,2026-10-08
L0132,SH023,C015,59138,39.62,2025-03-24,filled,standard,100,2025-05-25
L0133,SH009,C010,83978,211.1,2025-11-29,filled,negotiated,10000,2026-03-14
L0134,SH015,C009,80354,159.12,2025-04-28,expired,negotiated,10000,2025-07-22
L0135,SH014,C008,30949,153.63,2026-04-10,filled,negotiated,100,2026-07-29
L0136,SH014,C006,88177,100.39,2025-06-06,partially_filled,auction,100,2025-07-29
L0137,SH003,C002,57606,47.35,2026-01-17,expired,negotiated,100,2026-07-16
L0138,SH018,C009,44207,239.45,2026-02-25,filled,negotiated,5000,2026-04-09
L0139,SH010,C010,41953,132.8,2026-06-04,active,negotiated,5000,2026-08-30
L0140,SH004,C006,73910,138.13,2025-10-13,partially_filled,auction,10000,2026-04-03
L0141,SH001,C010,87223,292.87,2025-10-01,active,auction,1000,2026-01-25
L0142,SH012,C001,24777,306.4,2026-02-15,active,negotiated,100,2026-04-09
L0143,SH024,C009,29197,141.03,2026-04-10,filled,auction,1000,2026-08-01
L0144,SH025,C010,79148,43.46,2025-02-23,active,negotiated,100,2025-04-14
L0145,SH009,C008,87761,157.04,2026-03-29,filled,standard,10000,2026-05-27
L0146,SH012,C007,15534,109.89,2026-05-14,filled,auction,100,2026-08-08
L0147,SH013,C010,8180,17.58,2025-11-05,withdrawn,standard,1000,2026-02-17
L0148,SH011,C002,2013,181.62,2026-03-17,active,auction,10000,2026-06-13
L0149,SH017,C009,88562,285.08,2025-03-15,filled,negotiated,100,2025-08-03
L0150,SH001,C008,11205,303.81,2026-03-16,partially_filled,negotiated,5000,2026-06-28
L0151,SH004,C007,3733,338.68,2025-06-25,expired,negotiated,5000,2025-10-25
L0152,SH003,C007,14875,96.51,2026-02-15,filled,auction,1000,2026-06-11
L0153,SH008,C006,23037,40.59,2025-04-27,filled,standard,1000,2025-08-24
L0154,SH024,C014,85599,288.04,2025-08-30,active,auction,500,2025-11-12
L0155,SH020,C003,86918,40.24,2026-05-21,filled,negotiated,10000,2026-10-12
L0156,SH022,C015,74989,230.4,2025-11-27,expired,negotiated,1000,2026-02-03
L0157,SH015,C002,62462,163.14,2025-11-07,expired,negotiated,100,2026-03-07
L0158,SH017,C002,41685,169.68,2025-02-08,active,auction,100,2025-04-02
L0159,SH020,C010,67462,143.8,2025-02-12,filled,negotiated,500,2025-06-04
L0160,SH020,C008,66715,65.54,2025-03-05,filled,auction,100,2025-08-11
L0161,SH021,C003,6130,97.99,2026-03-25,withdrawn,negotiated,10000,2026-06-03
L0162,SH012,C006,38079,144.78,2025-12-13,partially_filled,standard,1000,2026-01-28
L0163,SH011,C002,74133,242.26,2025-10-18,active,negotiated,10000,2025-12-25
L0164,SH011,C002,77380,237.31,2025-12-25,filled,negotiated,5000,2026-02-26
L0165,SH020,C012,12104,118.71,2026-01-21,partially_filled,auction,500,2026-07-04
L0166,SH003,C011,88878,156.84,2026-01-06,active,auction,500,2026-03-31
L0167,SH011,C013,64736,79.32,2025-05-21,active,auction,100,2025-10-27
L0168,SH025,C009,97815,311.03,2025-02-08,partially_filled,negotiated,500,2025-06-14
L0169,SH005,C003,24703,293.5,2025-06-19,expired,standard,5000,2025-10-20
L0170,SH022,C012,32133,339.81,2025-10-19,expired,auction,500,2026-04-03
L0171,SH008,C005,62474,317.83,2025-07-18,filled,negotiated,5000,2025-12-13
L0172,SH025,C005,51052,183.47,2026-03-05,withdrawn,standard,10000,2026-05-09
L0173,SH009,C001,85040,176.0,2026-01-16,partially_filled,standard,10000,2026-03-18
L0174,SH010,C002,22012,106.39,2026-06-10,active,auction,100,2026-09-04
L0175,SH015,C015,46820,326.71,2026-03-01,active,negotiated,1000,2026-05-30
L0176,SH013,C002,50140,90.22,2025-11-23,withdrawn,negotiated,1000,2026-01-29
L0177,SH005,C001,38601,322.33,2026-04-29,partially_filled,standard,5000,2026-09-20
L0178,SH020,C001,11384,21.37,2025-08-09,expired,negotiated,10000,2026-01-21
L0179,SH014,C002,38762,94.61,2025-05-05,active,auction,10000,2025-09-29
L0180,SH003,C002,66513,214.91,2025-01-17,partially_filled,negotiated,500,2025-03-24
L0181,SH010,C007,1205,220.96,2025-09-04,partially_filled,standard,100,2026-02-15
L0182,SH012,C002,69951,197.27,2026-06-04,partially_filled,auction,5000,2026-07-15
L0183,SH021,C007,49929,99.97,2025-01-17,filled,standard,1000,2025-04-18
L0184,SH024,C011,83346,49.73,2025-12-07,active,auction,10000,2026-04-02
L0185,SH021,C003,90742,170.65,2026-05-06,partially_filled,standard,100,2026-09-30
L0186,SH002,C005,27422,29.68,2025-07-24,expired,auction,1000,2026-01-01
L0187,SH013,C014,72176,173.59,2025-02-07,expired,standard,1000,2025-06-08
L0188,SH025,C001,86948,126.19,2025-05-08,expired,auction,5000,2025-09-27
L0189,SH013,C006,25486,181.23,2026-05-25,filled,negotiated,1000,2026-07-15
L0190,SH024,C007,11345,159.25,2025-07-04,filled,auction,100,2025-08-23
L0191,SH011,C011,39750,117.68,2026-03-13,active,auction,1000,2026-08-04
L0192,SH002,C012,47210,220.98,2026-03-22,active,standard,100,2026-08-02
L0193,SH012,C009,99290,242.6,2025-02-01,active,negotiated,5000,2025-03-11
L0194,SH005,C002,31932,275.8,2026-01-11,filled,negotiated,100,2026-03-21
L0195,SH022,C008,49623,139.62,2025-03-20,partially_filled,negotiated,1000,2025-07-29
L0196,SH011,C011,37528,98.62,2025-04-27,active,standard,5000,2025-10-06
L0197,SH013,C015,74619,54.45,2025-09-24,expired,standard,10000,2026-01-05
L0198,SH023,C015,65382,82.06,2025-05-19,expired,auction,500,2025-10-09
L0199,SH003,C013,90381,339.13,2025-11-24,partially_filled,negotiated,100,2026-05-13
L0200,SH018,C005,40315,300.21,2025-06-28,expired,negotiated,500,2025-08-28
