trade_id,listing_id,buyer_id,company_id,shares_traded,execution_price_per_share,total_value_usd,trade_date,settlement_date,trade_type,commission_pct,compliance_status
T0047,L0001,B048,C004,38400,38.87,1492608.0,2026-03-10,2026-03-14,negotiated,1.72,under_review
T0048,L0018,B031,C001,19314,162.46,3137752.44,2025-05-19,2025-05-24,matched,4.97,cleared
T0049,L0097,B025,C002,45243,366.81,16595584.83,2025-05-17,2025-05-21,direct,2.12,cleared
T0050,L0136,B009,C012,15094,319.21,4818155.74,2025-01-24,2025-01-28,matched,3.86,cleared
T0051,L0137,B025,C014,15551,103.08,1602997.08,2025-12-21,2025-12-24,matched,2.16,pending_settlement
T0052,L0196,B008,C001,43766,166.28,7277410.48,2025-01-17,2025-01-20,direct,1.74,cleared
T0053,L0115,B039,C011,46590,332.97,15513072.3,2025-09-08,2025-09-10,matched,3.04,cleared
T0054,L0194,B050,C001,9683,197.43,1911714.69,2025-10-24,2025-10-27,negotiated,3.52,cleared
T0055,L0198,B044,C014,21515,99.18,2133857.7,2025-05-27,2025-05-30,matched,2.55,cleared
T0056,L0152,B048,C015,11977,242.37,2902865.49,2026-03-14,2026-03-19,direct,4.9,under_review
T0057,L0172,B025,C013,34871,129.29,4508471.59,2026-03-03,2026-03-08,direct,2.55,cleared
T0058,L0138,B031,C004,15268,122.67,1872925.56,2025-05-28,2025-06-02,direct,3.47,under_review
T0059,L0143,B034,C003,25955,101.37,2631058.35,2025-07-28,2025-08-01,negotiated,1.78,cleared
T0060,L0095,B006,C009,47986,317.22,15222118.92,2025-02-22,2025-02-26,matched,3.86,cleared
T0061,L0019,B013,C013,39007,278.54,10865009.78,2025-08-11,2025-08-16,direct,4.54,cleared
T0062,L0004,B014,C015,12953,366.04,4741316.12,2025-05-01,2025-05-06,direct,3.93,pending_settlement
T0063,L0102,B016,C009,21577,297.39,6416784.03,2026-01-25,2026-01-30,negotiated,3.77,cleared
T0064,L0093,B033,C015,33089,183.49,6071500.61,2026-04-26,2026-04-30,direct,2.8,cleared
T0065,L0145,B015,C012,10063,17.97,180832.11,2026-03-04,2026-03-08,direct,2.19,cleared
T0066,L0146,B016,C008,36586,252.9,9252599.4,2025-12-12,2025-12-16,matched,4.88,cleared
T0067,L0126,B030,C003,48522,304.55,14777375.1,2025-06-23,2025-06-26,negotiated,3.41,cleared
T0068,L0139,B042,C001,34837,24.45,851764.65,2025-03-18,2025-03-20,direct,2.94,pending_settlement
T0069,L0060,B005,C012,10397,15.36,159697.92,2026-06-02,2026-06-07,matched,1.71,cleared
T0070,L0158,B031,C011,32472,17.79,577676.88,2026-06-29,2026-07-04,direct,1.56,pending_settlement
T0071,L0138,B019,C001,33413,311.24,10399462.12,2026-03-17,2026-03-20,direct,4.71,cleared
T0072,L0062,B013,C010,35001,104.89,3671254.89,2025-12-29,2026-01-02,matched,1.78,under_review
T0073,L0118,B037,C004,46194,95.12,4393973.28,2025-03-24,2025-03-26,direct,2.92,cleared
T0074,L0122,B004,C011,1119,270.65,302857.35,2025-03-26,2025-03-31,matched,3.76,cleared
T0075,L0025,B034,C015,3288,96.55,317456.4,2026-05-02,2026-05-06,direct,4.73,cleared
T0076,L0072,B035,C010,43629,24.11,1051895.19,2025-11-19,2025-11-21,direct,3.55,pending_settlement
T0077,L0183,B026,C015,5542,122.13,676844.46,2025-09-04,2025-09-09,negotiated,4.64,cleared
T0078,L0194,B048,C003,45674,278.49,12719752.26,2026-05-28,2026-06-01,direct,1.84,cleared
T0079,L0020,B022,C010,40730,363.39,14800874.7,2026-02-11,2026-02-15,direct,3.72,pending_settlement
T0080,L0116,B032,C004,23818,215.52,5133255.36,2026-01-20,2026-01-25,direct,3.88,cleared
T0081,L0022,B050,C010,19857,305.68,6069887.76,2025-03-17,2025-03-19,matched,2.04,pending_settlement
T0082,L0163,B010,C012,26034,128.54,3346410.36,2025-04-20,2025-04-22,direct,4.8,cleared
T0083,L0195,B018,C002,9183,44.13,405245.79,2026-03-18,2026-03-23,negotiated,3.44,cleared
T0084,L0007,B006,C006,36821,46.25,1702971.25,2025-11-29,2025-12-04,direct,2.52,cleared
T0085,L0022,B047,C015,37169,345.12,12827765.28,2025-09-06,2025-09-09,negotiated,2.83,cleared
T0086,L0078,B018,C008,10063,35.28,355022.64,2026-03-22,2026-03-26,matched,2.55,pending_settlement
T0087,L0093,B017,C004,47744,242.01,11554525.44,2025-07-20,2025-07-25,direct,1.97,cleared
T0088,L0102,B022,C014,41144,151.8,6245659.2,2025-12-04,2025-12-09,matched,3.01,pending_settlement
T0089,L0167,B039,C003,20189,130.0,2624570.0,2025-07-25,2025-07-30,matched,2.12,cleared
T0090,L0082,B019,C012,46044,244.91,11276636.04,2025-09-06,2025-09-10,matched,2.48,pending_settlement
T0091,L0094,B008,C015,37452,85.53,3203269.56,2025-07-04,2025-07-06,negotiated,3.12,pending_settlement
T0092,L0113,B019,C014,45905,37.45,1719142.25,2026-02-23,2026-02-28,direct,3.72,cleared
T0093,L0169,B010,C012,28230,302.38,8536187.4,2025-03-17,2025-03-22,negotiated,3.18,cleared
T0094,L0130,B045,C007,36128,25.53,922347.84,2026-01-04,2026-01-06,direct,4.19,cleared
T0095,L0091,B011,C011,40652,28.3,1150451.6,2026-02-14,2026-02-18,matched,1.87,cleared
T0096,L0057,B033,C012,34499,217.34,7498012.66,2025-08-15,2025-08-20,matched,2.87,pending_settlement
T0097,L0151,B045,C009,10379,138.95,1442162.05,2025-01-26,2025-01-31,direct,2.53,under_review
T0098,L0022,B008,C014,48351,64.14,3101233.14,2025-11-16,2025-11-20,matched,4.24,cleared
T0099,L0090,B031,C002,29215,277.69,8112713.35,2026-04-09,2026-04-13,direct,2.55,pending_settlement
T0100,L0030,B002,C014,22983,250.45,5756092.35,2025-06-18,2025-06-21,negotiated,2.11,cleared
T0101,L0144,B028,C008,15694,305.57,4795615.58,2025-07-08,2025-07-11,negotiated,3.8,cleared
T0102,L0189,B040,C015,13431,177.44,2383196.64,2026-03-16,2026-03-21,direct,3.97,cleared
T0103,L0193,B046,C013,4600,224.46,1032516.0,2025-07-11,2025-07-15,matched,2.19,cleared
T0104,L0172,B032,C009,42384,127.33,5396754.72,2026-02-02,2026-02-07,negotiated,1.9,cleared
T0105,L0118,B040,C003,44644,271.8,12134239.2,2025-11-01,2025-11-03,negotiated,1.97,cleared
T0106,L0079,B008,C003,24964,267.18,6669881.52,2026-06-08,2026-06-13,matched,3.59,cleared
T0107,L0109,B012,C008,42148,209.76,8840964.48,2025-06-27,2025-06-30,matched,2.51,cleared
T0108,L0116,B040,C001,24029,362.28,8705226.12,2026-05-12,2026-05-15,direct,4.35,under_review
T0109,L0130,B042,C008,27313,263.97,7209812.61,2026-03-02,2026-03-07,matched,2.09,cleared
T0110,L0195,B015,C005,2642,113.15,298942.3,2025-10-23,2025-10-26,matched,3.48,pending_settlement
T0111,L0127,B036,C009,7919,222.76,1764036.44,2025-10-02,2025-10-06,negotiated,4.38,cleared
T0112,L0185,B029,C009,14822,376.24,5576629.28,2025-04-15,2025-04-18,matched,4.56,cleared
T0113,L0068,B023,C014,6200,173.58,1076196.0,2025-05-01,2025-05-04,direct,4.34,cleared
T0114,L0090,B046,C010,41969,169.57,7116683.33,2025-05-23,2025-05-26,direct,4.32,cleared
T0115,L0137,B018,C010,35808,73.96,2648359.68,2025-10-27,2025-10-31,negotiated,2.44,pending_settlement
T0116,L0174,B007,C003,49658,301.13,14953513.54,2025-03-02,2025-03-06,negotiated,1.94,pending_settlement
T0117,L0064,B010,C012,21608,316.88,6847143.04,2026-02-07,2026-02-12,direct,3.52,cleared
T0118,L0107,B025,C008,5449,245.18,1335985.82,2025-04-06,2025-04-11,negotiated,4.12,cleared
T0119,L0095,B030,C008,21949,226.16,4963985.84,2025-04-06,2025-04-11,negotiated,3.82,cleared
T0120,L0017,B035,C007,14775,368.27,5441189.25,2025-08-05,2025-08-10,matched,2.63,cleared
T0121,L0141,B037,C003,37602,325.69,12246595.38,2025-12-18,2025-12-20,direct,1.85,pending_settlement
T0122,L0118,B002,C002,10853,174.39,1892654.67,2025-01-01,2025-01-06,direct,4.98,under_review
T0123,L0167,B020,C003,18458,46.35,855528.3,2026-01-05,2026-01-09,direct,2.8,under_review
T0124,L0043,B004,C007,41499,124.43,5163720.57,2025-08-28,2025-09-02,negotiated,1.82,cleared
T0125,L0055,B031,C002,9196,230.47,2119402.12,2026-06-16,2026-06-21,direct,1.53,cleared
T0126,L0031,B028,C012,9162,187.79,1720531.98,2025-08-23,2025-08-28,direct,4.06,cleared
T0127,L0081,B024,C015,20111,62.46,1256133.06,2025-05-17,2025-05-20,direct,3.36,cleared
T0128,L0167,B011,C008,23515,277.85,6533642.75,2025-06-05,2025-06-10,negotiated,3.9,pending_settlement
T0129,L0023,B007,C003,49812,57.32,2855223.84,2026-01-29,2026-02-02,matched,2.6,cleared
T0130,L0071,B042,C002,16763,215.65,3614940.95,2025-10-19,2025-10-21,negotiated,4.57,cleared
T0131,L0156,B033,C004,49510,156.16,7731481.6,2025-02-25,2025-02-28,matched,2.85,cleared
T0132,L0164,B039,C002,35121,339.05,11907775.05,2025-01-13,2025-01-17,matched,1.96,pending_settlement
T0133,L0146,B027,C006,36306,263.32,9560095.92,2026-04-28,2026-04-30,direct,3.56,cleared
T0134,L0056,B003,C015,4462,361.11,1611272.82,2026-02-12,2026-02-16,negotiated,3.99,pending_settlement
T0135,L0109,B045,C007,5901,247.72,1461795.72,2025-06-06,2025-06-10,direct,2.58,cleared
T0136,L0053,B010,C009,21913,155.79,3413826.27,2025-03-09,2025-03-13,negotiated,3.03,under_review
T0137,L0062,B004,C004,6150,352.26,2166399.0,2025-04-29,2025-05-04,negotiated,3.63,cleared
T0138,L0190,B043,C012,12011,55.96,672135.56,2025-05-21,2025-05-23,direct,3.24,cleared
T0139,L0133,B047,C005,11442,148.85,1703141.7,2025-10-03,2025-10-05,direct,2.67,cleared
T0140,L0135,B005,C005,47182,370.82,17496029.24,2025-03-20,2025-03-25,matched,3.29,cleared
T0141,L0146,B011,C006,10809,105.88,1144456.92,2025-04-16,2025-04-18,direct,4.09,cleared
T0142,L0004,B016,C001,31417,145.94,4584996.98,2025-06-03,2025-06-06,direct,3.44,under_review
T0143,L0190,B042,C007,15213,130.42,1984079.46,2026-03-03,2026-03-07,matched,4.39,cleared
T0144,L0031,B033,C011,3951,78.0,308178.0,2026-06-13,2026-06-15,matched,1.74,cleared
T0145,L0073,B050,C014,20861,132.45,2763039.45,2026-04-13,2026-04-15,matched,2.2,cleared
T0146,L0078,B048,C010,16397,182.73,2996223.81,2026-05-21,2026-05-24,negotiated,4.65,pending_settlement
T0147,L0063,B010,C001,27372,20.8,569337.6,2025-12-21,2025-12-23,matched,1.51,cleared
T0148,L0189,B047,C005,7312,87.51,639873.12,2025-09-01,2025-09-06,matched,4.86,under_review
T0149,L0037,B046,C005,6596,28.16,185743.36,2025-08-26,2025-08-31,negotiated,4.63,cleared
T0150,L0192,B006,C010,6763,198.0,1339074.0,2026-02-08,2026-02-10,negotiated,3.49,cleared
T0151,L0034,B016,C005,17604,325.14,5723764.56,2026-02-07,2026-02-11,matched,3.08,cleared
T0152,L0052,B009,C013,38819,52.1,2022469.9,2025-04-19,2025-04-22,matched,3.13,cleared
T0153,L0138,B023,C013,14107,178.31,2515419.17,2026-04-20,2026-04-24,direct,1.82,pending_settlement
T0154,L0078,B046,C012,40038,26.84,1074619.92,2025-12-02,2025-12-05,direct,3.99,under_review
T0155,L0102,B033,C001,44879,121.97,5473891.63,2025-06-28,2025-06-30,matched,4.49,cleared
T0156,L0141,B016,C002,30780,49.5,1523610.0,2025-05-24,2025-05-26,direct,1.72,pending_settlement
T0157,L0057,B009,C004,26752,148.98,3985512.96,2025-03-28,2025-04-01,direct,1.58,cleared
T0158,L0166,B029,C013,8940,45.85,409899.0,2025-12-06,2025-12-08,direct,4.8,cleared
T0159,L0147,B028,C014,47976,157.36,7549503.36,2025-01-31,2025-02-05,negotiated,2.99,cleared
T0160,L0048,B018,C005,29729,337.1,10021645.9,2025-02-05,2025-02-08,negotiated,2.53,cleared
T0161,L0141,B031,C001,6248,114.96,718270.08,2025-05-21,2025-05-26,direct,3.75,pending_settlement
T0162,L0064,B041,C013,36129,304.5,11001280.5,2026-01-27,2026-01-31,matched,3.41,cleared
T0163,L0145,B033,C006,25952,111.52,2894167.04,2025-01-27,2025-01-31,negotiated,2.27,pending_settlement
T0164,L0200,B018,C001,31412,206.83,6496943.96,2025-08-27,2025-08-30,direct,2.37,cleared
T0165,L0137,B048,C001,14879,223.85,3330664.15,2026-02-02,2026-02-06,direct,2.12,cleared
T0166,L0189,B045,C006,39268,22.38,878817.84,2025-12-27,2025-12-30,negotiated,4.82,pending_settlement
T0167,L0127,B035,C005,12005,192.48,2310722.4,2025-04-03,2025-04-05,direct,3.61,cleared
T0168,L0123,B001,C006,40747,86.14,3509946.58,2025-05-14,2025-05-18,negotiated,2.12,pending_settlement
T0169,L0083,B004,C001,10180,227.87,2319716.6,2025-05-26,2025-05-28,negotiated,4.51,under_review
T0170,L0096,B046,C011,26425,227.65,6015651.25,2025-12-11,2025-12-15,matched,1.98,cleared
T0171,L0112,B041,C008,43044,128.76,5542345.44,2026-01-01,2026-01-04,negotiated,3.56,cleared
T0172,L0079,B047,C012,19801,58.86,1165486.86,2025-01-02,2025-01-07,negotiated,1.61,cleared
T0173,L0157,B015,C011,37563,50.31,1889794.53,2026-05-24,2026-05-27,matched,4.11,cleared
T0174,L0082,B011,C011,6314,314.37,1984932.18,2025-12-10,2025-12-15,direct,2.43,cleared
T0175,L0018,B023,C005,7580,277.11,2100493.8,2025-02-19,2025-02-24,matched,4.06,under_review
T0176,L0106,B032,C015,25319,141.25,3576308.75,2026-01-20,2026-01-22,matched,4.26,cleared
T0177,L0195,B044,C004,11159,178.07,1987083.13,2025-02-04,2025-02-08,direct,2.62,under_review
T0178,L0019,B022,C003,25106,71.21,1787798.26,2025-03-18,2025-03-20,matched,3.58,cleared
T0179,L0124,B046,C001,28767,358.82,10322174.94,2025-06-18,2025-06-23,direct,1.69,cleared
T0180,L0049,B027,C012,36814,277.71,10223615.94,2025-09-29,2025-10-03,matched,2.33,cleared
T0181,L0147,B036,C014,32674,68.52,2238822.48,2026-01-05,2026-01-07,matched,1.81,pending_settlement
T0182,L0161,B039,C008,13585,47.69,647868.65,2025-07-31,2025-08-03,negotiated,2.52,cleared
T0183,L0030,B020,C013,26548,185.31,4919609.88,2025-09-29,2025-10-01,negotiated,3.4,cleared
T0184,L0098,B024,C003,29714,28.42,844471.88,2026-03-27,2026-04-01,matched,2.29,cleared
T0185,L0016,B010,C013,46143,257.63,11887821.09,2025-03-29,2025-04-02,negotiated,2.95,pending_settlement
T0186,L0059,B036,C001,25869,313.17,8101394.73,2026-03-05,2026-03-10,negotiated,4.59,cleared
T0187,L0021,B026,C015,47312,24.78,1172391.36,2026-06-14,2026-06-17,direct,4.82,cleared
T0188,L0043,B014,C013,13130,58.44,767317.2,2026-03-10,2026-03-12,negotiated,3.02,under_review
T0189,L0161,B010,C014,39497,106.9,4222229.3,2025-03-10,2025-03-12,matched,3.45,cleared
T0190,L0071,B034,C008,1310,301.45,394899.5,2026-06-20,2026-06-25,direct,2.95,cleared
T0191,L0151,B038,C013,7066,352.37,2489846.42,2025-04-14,2025-04-18,negotiated,4.58,pending_settlement
T0192,L0068,B025,C011,32323,222.5,7191867.5,2026-04-30,2026-05-02,direct,2.46,cleared
T0193,L0156,B044,C012,26827,26.27,704745.29,2025-12-06,2025-12-09,direct,4.11,under_review
T0194,L0096,B002,C006,20361,126.43,2574241.23,2026-05-19,2026-05-21,direct,1.97,under_review
T0195,L0114,B050,C014,21528,111.15,2392837.2,2026-03-03,2026-03-05,direct,3.05,under_review
T0196,L0105,B048,C008,34349,331.13,11373984.37,2025-02-27,2025-03-02,direct,2.59,cleared
T0197,L0035,B050,C014,34859,335.59,11698331.81,2025-01-30,2025-02-02,direct,4.56,cleared
T0198,L0015,B016,C001,30413,30.61,930941.93,2026-01-05,2026-01-08,matched,2.79,cleared
T0199,L0102,B041,C015,8618,262.67,2263690.06,2025-09-05,2025-09-09,matched,3.58,cleared
T0200,L0122,B038,C009,23421,138.68,3248024.28,2025-09-22,2025-09-24,matched,1.6,cleared
T0201,L0147,B050,C004,15006,250.24,3755101.44,2025-07-31,2025-08-04,negotiated,2.93,cleared
T0202,L0200,B050,C011,1083,186.47,201947.01,2025-05-16,2025-05-19,negotiated,4.3,cleared
T0203,L0156,B020,C012,46989,248.53,11678176.17,2026-03-10,2026-03-15,matched,3.11,cleared
T0204,L0078,B044,C009,41368,158.15,6542349.2,2025-04-15,2025-04-17,negotiated,5.0,under_review
T0205,L0096,B036,C011,39413,236.13,9306591.69,2025-11-02,2025-11-04,matched,1.72,under_review
T0206,L0164,B021,C014,18645,108.1,2015524.5,2025-11-02,2025-11-05,direct,3.31,cleared
T0207,L0015,B039,C007,43788,129.61,5675362.68,2025-05-24,2025-05-26,negotiated,3.24,cleared
T0208,L0108,B026,C007,48782,25.0,1219550.0,2025-07-14,2025-07-18,negotiated,4.0,cleared
T0209,L0164,B031,C015,44531,143.93,6409346.83,2025-11-04,2025-11-07,negotiated,4.57,cleared
T0210,L0025,B031,C003,49056,107.18,5257822.08,2025-07-07,2025-07-11,negotiated,1.81,cleared
T0211,L0191,B020,C007,22213,148.78,3304850.14,2025-10-29,2025-11-03,direct,3.15,pending_settlement
T0212,L0150,B038,C010,5167,185.78,959925.26,2025-07-19,2025-07-21,negotiated,2.84,cleared
T0213,L0014,B010,C003,13626,138.1,1881750.6,2026-04-14,2026-04-17,matched,4.52,cleared
T0214,L0021,B032,C006,41855,375.08,15698973.4,2025-11-17,2025-11-19,direct,3.08,cleared
T0215,L0199,B011,C010,10883,192.16,2091277.28,2025-04-01,2025-04-04,negotiated,3.02,cleared
T0216,L0110,B031,C007,805,25.88,20833.4,2025-07-24,2025-07-28,direct,4.62,pending_settlement
T0217,L0136,B013,C001,44851,13.52,606385.52,2025-09-12,2025-09-15,negotiated,4.57,cleared
T0218,L0027,B025,C009,39079,124.65,4871197.35,2025-03-08,2025-03-10,matched,4.82,cleared
T0219,L0134,B039,C009,22640,171.59,3884797.6,2025-05-18,2025-05-22,matched,2.76,cleared
T0220,L0104,B002,C004,15201,279.6,4250199.6,2025-05-15,2025-05-18,negotiated,1.58,cleared
T0221,L0032,B024,C012,43133,303.5,13090865.5,2026-01-20,2026-01-24,negotiated,3.68,cleared
T0222,L0013,B043,C002,43332,319.69,13852807.08,2025-02-19,2025-02-21,matched,3.06,cleared
T0223,L0065,B031,C012,10535,87.62,923076.7,2025-01-10,2025-01-14,matched,3.82,cleared
T0224,L0070,B040,C010,46422,62.48,2900446.56,2025-04-18,2025-04-20,matched,1.9,cleared
T0225,L0051,B039,C004,17735,317.99,5639552.65,2025-07-26,2025-07-30,negotiated,2.93,cleared
T0226,L0141,B032,C015,14111,265.26,3743083.86,2026-05-08,2026-05-12,direct,1.51,cleared
T0227,L0029,B037,C011,32881,66.89,2199410.09,2025-04-03,2025-04-05,negotiated,4.03,under_review
T0228,L0165,B015,C008,19900,109.2,2173080.0,2025-02-21,2025-02-23,direct,4.56,pending_settlement
T0229,L0093,B044,C006,28418,283.78,8064460.04,2025-04-08,2025-04-10,direct,4.48,cleared
T0230,L0044,B022,C006,29186,363.47,10608235.42,2025-10-02,2025-10-04,matched,4.35,cleared
T0231,L0103,B026,C008,18314,319.54,5852055.56,2026-05-05,2026-05-10,negotiated,4.6,cleared
T0232,L0034,B045,C012,4343,373.22,1620894.46,2025-06-13,2025-06-15,matched,4.69,cleared
T0233,L0146,B044,C008,12379,236.97,2933451.63,2026-01-03,2026-01-05,negotiated,4.58,pending_settlement
T0234,L0034,B031,C015,32489,53.56,1740110.84,2026-02-26,2026-03-03,direct,1.72,cleared
T0235,L0004,B046,C014,44928,205.13,9216080.64,2025-08-18,2025-08-22,negotiated,3.33,pending_settlement
T0236,L0025,B028,C011,48121,103.48,4979561.08,2025-12-21,2025-12-26,direct,4.44,cleared
T0237,L0157,B004,C001,42665,355.85,15182340.25,2026-06-02,2026-06-07,matched,4.54,cleared
T0238,L0126,B021,C004,22185,369.01,8186486.85,2025-02-21,2025-02-24,negotiated,3.75,cleared
T0239,L0061,B006,C008,29610,306.86,9086124.6,2026-04-04,2026-04-06,matched,3.06,cleared
T0240,L0128,B048,C011,1664,49.77,82817.28,2026-02-27,2026-03-01,negotiated,3.42,pending_settlement
T0241,L0155,B040,C011,20462,339.56,6948076.72,2025-07-31,2025-08-05,matched,2.77,cleared
T0242,L0058,B030,C006,37210,294.41,10954996.1,2026-04-30,2026-05-04,negotiated,3.08,cleared
T0243,L0169,B015,C001,22871,142.69,3263462.99,2025-10-26,2025-10-30,negotiated,1.87,pending_settlement
T0244,L0127,B009,C014,47479,285.24,13542909.96,2026-02-24,2026-02-26,matched,3.64,cleared
T0245,L0101,B014,C008,12989,275.78,3582106.42,2025-04-21,2025-04-26,direct,4.74,pending_settlement
T0246,L0151,B008,C013,30024,180.32,5413927.68,2026-06-01,2026-06-04,matched,1.52,pending_settlement
T0247,L0142,B028,C014,38846,189.72,7369863.12,2026-06-05,2026-06-08,negotiated,3.52,pending_settlement
T0248,L0033,B007,C007,43591,233.0,10156703.0,2025-11-26,2025-12-01,matched,4.93,under_review
T0249,L0196,B016,C005,26574,366.6,9742028.4,2025-10-29,2025-11-03,direct,1.98,cleared
T0250,L0192,B033,C005,46473,213.59,9926168.07,2025-11-18,2025-11-21,direct,2.23,pending_settlement
T0251,L0176,B023,C015,44564,60.82,2710382.48,2025-07-02,2025-07-06,negotiated,1.9,cleared
T0252,L0123,B038,C010,44222,273.33,12087199.26,2025-10-20,2025-10-25,direct,3.33,cleared
T0253,L0038,B004,C011,4209,85.56,360122.04,2025-06-14,2025-06-18,negotiated,2.38,pending_settlement
T0254,L0177,B019,C004,49887,211.15,10533640.05,2026-01-03,2026-01-08,direct,3.66,cleared
T0255,L0144,B015,C012,42909,218.55,9377761.95,2025-09-01,2025-09-05,negotiated,3.83,under_review
T0256,L0100,B027,C013,45401,127.06,5768651.06,2025-02-25,2025-02-27,negotiated,2.38,cleared
T0257,L0200,B029,C014,15281,347.43,5309077.83,2026-01-12,2026-01-15,negotiated,4.88,cleared
T0258,L0046,B044,C002,12753,366.19,4670021.07,2026-06-11,2026-06-13,matched,1.64,cleared
T0259,L0068,B009,C003,38772,323.33,12536150.76,2025-01-06,2025-01-10,matched,3.98,cleared
T0260,L0040,B021,C010,3832,296.71,1136992.72,2025-11-05,2025-11-10,negotiated,3.43,cleared
